P46133,ENOG4105CFC;COG2978;
P31119,ENOG4105CEY;COG0204;COG0318;
P0AC28,ENOG4105MK2;COG0212;
P00350,ENOG4105C7Q;COG0362;
P67662,ENOG4105CR8;ENOG410XNYU;
P0A991,ENOG4105EIE;COG1830;
P0A959,ENOG4105CHM;COG0436;
P32720,ENOG4105CNN;COG1172;
P32719,ENOG4105UP7;COG0036;
P75820,ENOG4108VBV;COG3023;
P77671,ENOG4105CD3;COG0044;
P33997,ENOG410679B;COG3311;
P75681,COG1178;
P35340,ENOG4108JU3;COG3634;
P32718,ENOG4107TFG;COG1940;
P26612,ENOG4105E5K;COG0366;
P0ACR0,ENOG4107653;ENOG410XWA5;
P75713,ENOG4105S0E;COG3257;
P27250,ENOG4105DQ4;COG1064;
P00562,ENOG4105CFH;COG0460;COG0527;
P08660,ENOG4105CFH;COG0527;
P77434,ENOG4105CHM;COG0436;
P77555,ENOG4105DG4;COG2055;
P77425,ENOG4105CE7;COG0624;
P39265,ENOG4105E9V;COG1879;
P25718,ENOG4107T9C;COG0366;
P32721,ENOG4105C2J;COG1129;
P64550,ENOG4108RNS;ENOG4111J5P;
P0AB71,ENOG4105D2N;COG0191;
P27254,ENOG4105DJT;COG1703;
P76474,ENOG4105U65;COG0697;
P0A6D3,ENOG4105CMY;COG0128;
P33647,ENOG4105MZG;COG2337;
P05194,ENOG4105FF2;COG0710;
P77624,ENOG4105C5B;COG0549;
P39163,ENOG4108NH8;COG3703;
P17411,ENOG4105F8D;COG1486;
P75993,ENOG4106E9H;ENOG410Y1T2;
P17410,ENOG4105EZV;ENOG410XRRP;
P07363,ENOG4105CBS;COG0643;
P76472,ENOG4105F73;COG0726;
P75734,ENOG4105GX6;ENOG4111N6E;
P07639,ENOG4105D49;COG0337;
P0A9Q1,ENOG41065U4;COG0745;
P07364,ENOG4105BZU;ENOG410XNMH;
P0A964,ENOG4108V3W;COG0835;
P0AE67,ENOG4108VYJ;COG0784;
P0A9H9,ENOG4108KCC;COG3143;
P77757,ENOG4105CKK;COG0463;
P77690,ENOG4105CF4;COG0399;
P75733,
Q47377,ENOG41060GT;COG0697;
P0A9E0,ENOG41063TF;ENOG4111G16;
P0A8S1,ENOG4105CXD;COG0583;
P11447,ENOG4105CH7;COG0165;
P07330,ENOG4105CMP;COG2201;
P77398,ENOG4105C3I;COG0223;COG0451;
P23910,ENOG4105F27;COG2814;
P23908,ENOG4105CWC;COG0624;
P11667,ENOG4108ZUB;COG1279;
P09551,ENOG4105E89;COG0834;
P31801,ENOG4105EWV;COG0387;
P0AE63,ENOG4105WS7;COG4572;
P37794,ENOG410901P;COG3394;
P0ABB4,ENOG4105C4J;COG0055;
P0A6E6,ENOG4105KNM;COG0355;
P0ABA0,ENOG4107Z6K;COG0711;
P0ABA6,ENOG4105J80;COG0224;
P11446,ENOG4105C0N;COG0002;
P0A6F5,ENOG4105CJ9;COG0459;
P0A6H1,ENOG4105CHN;COG1219;
P0A6H8,ENOG4105CQX;COG1502;
P75919,ENOG4107RZC;COG1502;
P76461,ENOG4105CHU;COG0183;
P36566,ENOG4106371;COG0500;
P0A9J8,ENOG4105CQC;COG0077;COG1605;
P0AB98,ENOG4105EE4;COG0356;
P0ABR7,ENOG4105DVW;COG4638;
P08203,ENOG4107R0P;COG0235;
P0A6C5,ENOG4108EKC;COG0548;COG1246;
P76175,ENOG4105CMQ;COG0038;
P36560,
P63284,ENOG4105C2Z;COG0542;
P76290,ENOG4105DA6;COG0500;
P0ABB8,ENOG4105C52;COG0474;
P76459,ENOG4107QNJ;COG2057;
P76458,ENOG4107QP7;COG1788;
P76460,ENOG4105CRW;COG2031;
P77395,ENOG4107QR8;COG3118;
P08204,ENOG4105EF1;COG1069;
P0AB91,ENOG4105E99;COG0722;
P75726,ENOG4105CHY;COG3051;
P17315,ENOG4105D05;COG4771;
P0A6E1,ENOG4105KHV;COG0703;
P0AE28,ENOG4105HBA;ENOG410XSID;
P15993,ENOG4105C85;COG1113;
P77390,ENOG4105DUA;COG3053;
P23325,COG0666;
P37019,ENOG4105CMQ;COG0038;
P24240,ENOG4105CS2;COG2723;
P24242,ENOG4105DDV;COG1609;
P22106,ENOG4105CAQ;COG0367;
P0ACI6,ENOG4108VVK;COG1522;
P00805,ENOG4105HDK;COG0252;
Q46807,ENOG4105C5B;COG0549;
P36675,ENOG4105VCN;COG3036;
P18335,ENOG4105C8Y;COG4992;
P0A6E4,ENOG4105CDH;COG0137;
P76217,ENOG4105C26;COG1012;
P0A6G7,ENOG4105CCQ;COG0740;
P0A8Q6,ENOG4105KAE;COG2127;
P0A951,ENOG4108MK9;COG1670;
P76254,ENOG4105E3J;COG1018;
P60844,ENOG4105D8C;COG0580;
P15770,ENOG4105E2X;COG0169;
P76216,ENOG4105EY2;COG3724;
P76215,ENOG4107UI5;COG2988;
P0AA84,ENOG4105DZQ;COG1502;
P0A6C8,ENOG4105CAS;COG0548;
P0ABH9,ENOG4105C2Z;COG0542;
P0AE37,ENOG4105F4X;COG3138;
P0AFP2,ENOG41080UX;COG3695;
Q06065,ENOG4105C1W;COG2204;
Q06067,ENOG4105BZU;COG0642;COG2202;
P76291,ENOG4105PFA;COG0500;
P0A6I3,ENOG4105CS9;COG1072;
P26458,ENOG4105CFY;COG1294;
P08202,ENOG4105CAC;COG2160;
P40711,ENOG4108YZN;COG1186;
P0AB93,ENOG4107R5R;COG1055;
P37309,ENOG4105KBH;COG0640;
P30859,ENOG4106PMH;COG0834;
P30860,ENOG4106TNF;COG0834;
P0AE30,ENOG4105DMR;COG4160;
P0AAF6,ENOG4105E5Z;COG4161;
P0AE34,ENOG4105GBT;COG4215;
P25549,ENOG4105ENH;COG3119;
P25550,ENOG4105C4X;COG0641;
P28249,ENOG4108GAE;COG2982;
P00963,ENOG4105CU9;COG2502;
P0AC38,ENOG4108IJ0;COG1027;
P0A962,ENOG4105HDK;COG0252;
P77581,ENOG4105C8Y;COG4992;
P0ABB0,ENOG4105CDG;COG0056;
P64467,ENOG4105QZ5;ENOG4111UG9;
P09053,ENOG4105JKW;COG3977;
C1P605,
P69228,ENOG4105E3W;COG0745;
P0AEC5,ENOG4105BZU;COG0784;COG2198;COG4999;
P30844,ENOG4105ECM;ENOG410XPUQ;
P11988,ENOG4105CS2;COG2723;
P26218,ENOG4108P68;COG4580;
P08401,ENOG4105EB3;COG0642;
P0DM85,ENOG4108F5E;COG0699;
P05804,ENOG4105CNT;COG3250;
P0AB40,ENOG4105RC8;ENOG4111Y56;
P05052,ENOG4108MIW;COG2207;
P02924,ENOG4105DMK;COG1879;
P08365,ENOG41087RY;ENOG41102J6;
P00887,ENOG4105E99;COG0722;
P77808,ENOG4107S37;COG1058;
P0A6D7,ENOG4105KHV;COG0703;
P0ABH7,ENOG4105BZN;COG0372;
P69330,ENOG4105XGS;COG3052;
P0A9I1,ENOG4105CI0;COG2301;
P77231,ENOG4108K6F;COG1767;
P0AE74,ENOG4107QPK;COG0471;
P76205,
P0A6G5,ENOG4105YGP;COG3697;
P0AB96,ENOG4105K89;COG1393;
P0AFN2,ENOG4105FM1;COG1983;
P08178,ENOG4105CXB;COG0150;
P68919,ENOG4105KW6;COG1825;
P07654,ENOG4105E2Z;COG0581;
P0AFV8,ENOG4105NNG;ENOG4111WU3;
P0AFM9,ENOG4105YYT;ENOG41123WF;
P32676,ENOG4108XCZ;COG1445;
P56580,ENOG4105DZY;COG3732;
P77579,ENOG410863U;COG1299;
P32154,ENOG4105DM4;COG1299;COG1445;
P69831,ENOG4105DT3;COG3775;
P69824,ENOG4108X7Y;COG1762;
P69826,ENOG4105CTS;COG2213;
P00550,ENOG4105CTS;COG2213;COG4668;
P42910,ENOG4105ETZ;COG3715;
P24555,ENOG4105CUG;COG1770;
P15639,ENOG4105DC1;COG0138;
P0ACP7,ENOG4105ETE;COG1609;
P75746,ENOG4105E7W;COG1540;
P0AG51,ENOG4105VPB;COG1841;
P08244,ENOG4106EG9;COG0284;
P0A7E9,ENOG4105C41;COG0528;
P0A7N9,COG0267;
P78061,ENOG4105CFQ;COG0174;
P37906,ENOG4105CJP;ENOG410XWBT;
P50457,ENOG4108JPW;COG0160;
P0A9U6,ENOG4107VRI;ENOG4111ISD;
P0A7E3,ENOG4107QP2;COG0461;
P0A7M9,ENOG4105VFB;COG0254;
P0AGH8,ENOG4105C8U;COG0573;
P08839,ENOG4105BZ3;COG1080;
P69808,ENOG4105R6B;COG1445;
P69816,ENOG4108YRF;COG1445;
P20966,ENOG4105DM4;COG1299;COG1445;COG3925;
P56579,ENOG410787A;COG3730;
P0AA04,COG1925;
P69797,ENOG4105DAS;COG2893;COG3444;
P69805,ENOG4105F3R;COG3716;
P42911,ENOG4105F3R;COG3716;
P69795,ENOG4105VZJ;COG1440;
P69829,ENOG4107RM2;COG1762;
P36672,ENOG4105C5Y;COG1263;COG1264;
P69789,COG1263;COG1264;
P31452,COG1263;
P0AG16,ENOG4105CBA;COG0034;
P15640,ENOG4105C12;COG0151;
P07117,ENOG4105CK7;COG0591;
P0A7N1,ENOG4105NRA;COG0254;
P0AAE2,ENOG4105C85;COG1113;
P14176,ENOG4108HQS;COG4176;
P69828,ENOG41082GB;COG1762;
P0A786,ENOG4105CXT;COG0540;
P05020,ENOG4105EKE;COG0418;
P37619,ENOG4105EX9;COG1738;
P52076,ENOG4105XJC;ENOG4111FPD;
P77756,ENOG4105FD2;COG0603;
Q2EEQ2,ENOG4105YK5;COG0257;
P39315,ENOG4105ECR;COG0702;
P0A7E5,ENOG4105C8D;COG0504;
P0AA53,ENOG4107QX8;COG0330;
P0A7F9,ENOG4105E2N;COG0809;
Q46920,ENOG4107R1K;COG0780;COG2904;
P0AFK6,ENOG4105D38;COG1177;
P0AFK9,ENOG4107RUE;COG0687;
P0AAF1,ENOG4105D5Q;COG0531;
P31133,ENOG4107RUE;COG0687;
P31134,ENOG4105C53;COG3842;
P31135,ENOG4105F38;COG1176;
P0AFL1,ENOG4105D38;COG1177;
P07003,ENOG4105C7K;COG0028;
P0AEI6,ENOG4105KB7;COG0494;
P37128,ENOG4107VIJ;ENOG410YMTX;
P0A7B1,ENOG4105CUU;COG0855;
P0AFH0,ENOG4105K85;COG0350;
P05041,ENOG4105CRQ;COG0147;
P0AG18,ENOG4108UM6;COG0041;
P33136,ENOG4105DJ9;COG3131;
P0AFI0,ENOG4105CFN;COG0028;
P76082,ENOG4105E39;COG1024;
P76084,ENOG4108ZJI;COG2050;
P0C7L2,ENOG4105CHU;COG0183;
P76077,ENOG4105CRS;COG3396;
P76078,ENOG4105N76;COG3460;
P76079,ENOG4105D9S;COG3396;
P76080,ENOG4108ZA2;COG2151;
P28305,ENOG4105YAZ;COG0115;
P0A7D4,ENOG4105C91;COG0104;
P37001,ENOG41079UR;ENOG410XTHE;
P31663,ENOG4107R03;COG0414;
P42588,ENOG4105C8Y;COG4992;
P0AFG6,ENOG4105C7S;COG0508;
P09169,ENOG4108NC2;COG4571;
P0A910,ENOG4105UYK;COG2885;
P02931,ENOG4105FCK;COG3203;
P76045,ENOG4107EFV;ENOG410YHNX;
P75920,ENOG4105EIK;ENOG410ZVNJ;
P0A921,ENOG4105HDD;COG2829;
P0AAV4,ENOG4105P4J;COG2049;
P75745,ENOG4107R7A;COG1984;
P0ADR8,ENOG4105EWT;COG1611;
P0AFC7,ENOG4105ES3;COG0377;
P0AFE4,COG0713;
P17888,ENOG4105C25;COG1198;
P07013,ENOG4108VDV;COG2965;
P23862,ENOG4108URS;COG3923;
P0ACC1,ENOG4105EQY;COG2890;
P0AFG3,ENOG4105C7P;COG0567;
P77747,ENOG4105FCK;COG3203;
P0AFH6,ENOG4105C2T;COG1173;
P40120,ENOG4105DJ9;COG3131;
P77467,ENOG4108UKI;COG1024;
P76083,ENOG4105DYT;COG1250;
P76085,ENOG4105DZS;COG1541;
P76086,ENOG4105V9J;COG3327;
P77181,ENOG4108Z0R;COG0663;
P77455,ENOG4105DXM;COG2030;
P76081,ENOG4105CJJ;COG1018;
P0A912,ENOG4105KCK;COG2885;
P09029,ENOG4105CY8;COG0026;
P76773,ENOG4108KUC;ENOG410XRD5;
P0AA16,
P0A915,ENOG4105EIF;COG3047;
P39401,ENOG4107RES;COG1368;
P76027,ENOG4105C3U;COG0444;
P00903,ENOG4105DDQ;COG0512;
P0A799,ENOG4105BZA;COG0126;
P04846,ENOG4105D01;COG1464;
P31806,ENOG4105DR1;COG0062;COG0063;
P0AFH2,ENOG4105CJM;COG0601;
P0C0L2,ENOG4108Z9K;COG1764;
Q46891,ENOG4105QG4;COG3622;
P07004,ENOG4105C2S;COG0014;
P0A917,ENOG4108T1M;COG3637;
P75785,ENOG4108I6E;COG2194;
P0A7E1,ENOG4107QYT;COG0167;
P76062,ENOG410649Z;ENOG41126JH;
Q47152,ENOG4108UK5;COG1943;
P37624,ENOG4105CJ1;COG0842;COG1131;
P64530,ENOG41090EM;COG1937;
P08394,ENOG4107QKA;COG1074;
P0AFW2,ENOG4105WFT;COG3130;
P37744,ENOG4108I19;COG1209;
P61887,ENOG4108I19;COG1209;
P37759,ENOG4105C1B;COG1088;
P27830,ENOG4105C1B;COG1088;
P37745,ENOG4108URP;COG1898;
P37760,ENOG4105DBZ;COG1091;
P0AG71,ENOG4105CGY;COG1322;
P40719,ENOG4105DHQ;ENOG410XS4R;
P0A7Q1,COG0291;
P15033,
P33221,ENOG4108HH9;COG0027;
P23883,ENOG4105C26;COG1012;
P76038,ENOG4108Z86;COG2071;
P76037,ENOG4105CUB;COG0531;
P09546,ENOG4105C26;COG0506;COG4230;
P0A7M6,ENOG41083MP;COG0255;
P0A7F3,ENOG4108R9M;COG1781;
P64554,ENOG4105EIZ;COG0602;
P33919,ENOG4105CFI;COG1061;
P24554,ENOG4105DNJ;COG1066;
P60240,ENOG4105BZK;COG0553;
P31473,ENOG4107R4Q;COG0714;
P52119,ENOG4105VDB;COG2914;
P28304,ENOG4105EE6;COG0604;
P0A7P5,COG0230;
P65870,ENOG4107ZIF;COG0720;
P27844,ENOG4105FR1;COG2962;
P04982,ENOG4105MRB;COG1869;
P0A9J6,ENOG4108RVA;COG0524;
P39838,ENOG4105E3G;COG2198;
P69411,ENOG4108R8X;ENOG4111FP8;
P39288,ENOG4105EH2;COG1600;
P33229,ENOG4106YAH;ENOG410YU07;
P76425,ENOG41061MD;COG2215;
P75687,ENOG41066GK;ENOG410XU9X;
P75685,ENOG4108KBJ;COG3059;
P33230,ENOG41070YT;ENOG410YWP5;
P77212,ENOG4107QN2;COG1249;
P64534,ENOG4108Z1S;COG5455;
P60438,ENOG4105EEE;COG0087;
P37344,ENOG4105E51;COG1221;
P05706,ENOG4105VI0;COG3731;
P32155,ENOG41064BA;COG1762;
P77439,ENOG4105BZ3;COG1080;COG1925;
P0A7D1,ENOG4108ZPD;COG0193;
P24241,ENOG4105C5Y;COG1263;COG1264;
P0AG48,COG0261;
P42904,ENOG4108RG5;COG3444;
P05458,ENOG4107QXK;COG1025;
P0A9N0,ENOG41080Z8;COG1925;
P08722,ENOG4105C5Y;COG1263;COG1264;COG2190;
P09323,ENOG4105CI1;COG1263;COG1264;COG2190;
P61175,COG0091;
P0A7D7,ENOG4105C8V;COG0152;
P60624,ENOG4105KAR;COG0198;
P0AB89,ENOG4107QTF;COG0015;
P69924,ENOG4105E05;COG0208;
P0A894,ENOG4105C21;COG1660;
P36767,ENOG4105DH7;COG2974;
P07648,ENOG4105DSY;COG1330;
P05824,ENOG4105C4F;COG0497;
P0A944,ENOG4105KEG;COG0456;
P15032,ENOG41076J9;ENOG410XPW2;
P21893,ENOG4105C2R;COG0608;
P41409,ENOG4105DU0;COG1957;
P33022,ENOG4105DU0;COG1957;
P0DMC7,ENOG41068CG;COG2197;
P0A7G6,ENOG4105C68;COG0468;
P77766,ENOG4105DB7;COG0613;
P30850,ENOG4108IEC;COG4776;
P0A7Y0,ENOG4108ZBM;COG0571;
P22564,ENOG4105DU0;COG1957;
P13857,ENOG4108Z9I;COG1670;
P0AAZ4,ENOG4105D1H;COG2256;
P0A8V0,ENOG4105IES;COG1234;
P0ACQ0,ENOG4105ETE;COG1609;
P0A7K6,ENOG4108YY1;COG0335;
P0AGI1,ENOG4105CNN;COG1172;
P75811,ENOG4108RFG;COG3226;
P0DMC5,ENOG4105BZU;ENOG410XNMH;
P0A7H0,ENOG4105C3X;COG1195;
P24230,ENOG4105CB5;COG1200;
P15043,ENOG4105C9U;COG0514;
P0C0U4,ENOG4105D9I;COG0189;
P0AGL5,ENOG4108Z1B;COG2867;
P77379,ENOG4108K01;COG2207;
P04993,ENOG4107QYX;COG0507;
P0A7H3,ENOG41071DT;COG1381;
P09980,ENOG4105C4R;COG0210;
P0A7J0,ENOG4105C66;COG0108;
P21513,ENOG4107QQB;COG1530;
P0AF93,ENOG4105KME;COG0251;
P0A7J3,ENOG4108VZM;COG0244;
P0C018,COG0256;
P14175,ENOG4108IJ7;COG4175;
P0AG82,ENOG4107QMV;COG0226;
P33025,ENOG4105D53;COG2313;
P69786,ENOG4105CI1;COG1263;COG1264;
P37051,ENOG4105CIY;COG0788;
P60422,ENOG4105CFD;COG0090;
P33024,ENOG4105D9N;COG1972;
P69811,ENOG4105DTZ;COG1925;COG4668;
P0A9M8,ENOG4105C6K;COG0280;COG0857;
P32672,ENOG4105DM4;COG1299;
P08179,ENOG4108V3E;COG0299;
P0ADZ0,ENOG41080KG;COG0089;
P15254,ENOG4107QIK;COG0046;COG0047;
P16685,ENOG4105KQZ;COG3624;
P00490,ENOG4107QQN;COG0058;
P07102,ENOG4105D6F;ENOG410XRK8;
P00634,ENOG4105G6Z;COG1785;
P0AFL3,ENOG4108R5K;COG0652;
P25539,ENOG4105D1W;COG0117;COG1985;
P0ADI0,ENOG4105MN3;COG1961;
P15373,ENOG4105ZEG;COG2002;
P55798,ENOG4108R1E;COG0639;
P77495,ENOG4108IQF;COG0365;
P0ADY7,ENOG4108R70;COG0197;
P55799,ENOG4105MEW;COG0639;
P0ADY3,ENOG4108UNN;COG0093;
P0AFM4,ENOG4105VIF;ENOG41121V4;
P23857,ENOG4105K8Z;COG0607;
P23830,ENOG4105JIM;COG1502;
P0AFM6,ENOG41087YS;COG1842;
P0C0L7,ENOG4105CSH;ENOG410XP7I;
P77743,ENOG4108JU7;COG1221;
P32696,ENOG4105P4Z;ENOG411217G;
P0AAH0,ENOG4105BZY;COG1117;
P37177,ENOG4108HRM;COG3605;
P32670,ENOG4105BZ3;COG1080;COG1762;COG1925;
P69783,ENOG4105C5Y;COG2190;
P0A7L3,ENOG4108YZX;COG0292;
P02338,
P0A8K1,ENOG4105DJ4;COG0688;
P42909,ENOG4108UZY;COG3444;
P42905,
P69791,ENOG4105VCP;COG1447;
P17334,ENOG4105CK1;COG1455;
P77272,ENOG4105C5Y;COG2190;
P0A7B5,ENOG4105CGT;COG0263;
P30235,ENOG4105DD7;COG0524;
P37188,ENOG41090UW;COG3414;
P69801,ENOG4105ETZ;COG3715;
P19642,ENOG4105CI1;COG1263;COG1264;
P69434,ENOG4108TUY;ENOG4111HEP;
P75905,ENOG4105CND;COG1215;
P06999,ENOG4105DE4;COG1105;
P16689,ENOG4105FD8;COG3454;
P16691,ENOG410849A;ENOG410ZXJ8;
P76611,
P0AFJ7,ENOG4105CJ3;COG0306;
P21165,ENOG4105D9Y;COG0006;
P16686,ENOG4105KZ6;COG3625;
P16678,ENOG4105ENV;COG4107;
P0A9K7,ENOG4108UTW;COG0704;
P0DP69,
P0DP70,
P33228,ENOG4108PNI;COG3723;
P02413,ENOG4108UZ0;COG0200;
P0ABF8,ENOG4105BZQ;COG0558;
P23837,ENOG4105IFJ;COG0642;
Q46806,ENOG4105CD3;COG0044;
P0AA47,ENOG4105CUB;COG0531;
P33596,ENOG4105Y3E;COG2137;
P0AFM2,ENOG4105GIJ;COG2113;
P76395,ENOG4105UM3;ENOG4111YVJ;
P31660,ENOG4105BZN;COG0372;
P0AA10,COG0102;
P0A8A4,ENOG4105CF9;COG1806;
P16690,ENOG4105MFQ;COG3709;
P0AFJ5,ENOG4105CK6;COG0745;
P03014,ENOG4108C33;COG1961;
P0C037,ENOG4105NBK;COG3123;
P39199,ENOG4105C76;COG2890;
P77243,ENOG4105DXD;COG2079;
P77541,ENOG4105CR4;COG2513;
P77473,ENOG41066DG;COG4943;
P32701,ENOG4108M8H;COG4943;
P04983,ENOG4105C2J;COG1129;
P0A924,ENOG4105EYK;COG0671;
P0AD42,ENOG4105HYY;COG0560;
P0AFI5,ENOG41061WM;COG1686;
P02919,ENOG4105BZ4;COG0744;
P77172,ENOG4105BZU;ENOG410XNMH;
P75995,ENOG4105BZU;ENOG410XNMH;
P37649,ENOG4105BZU;ENOG410XNMH;
P76446,ENOG4105CXC;COG2200;
P19624,ENOG4105CEZ;COG1995;
P0A7C6,ENOG4105EQ6;COG3340;
P16682,ENOG4105EHI;COG3221;
P16684,ENOG4107RJJ;COG2188;
P0A7A5,ENOG4105E26;COG2518;
P0A9L5,ENOG4105KQ5;COG0760;
P37146,ENOG4107R25;COG0208;
P0AFU8,ENOG4108R6K;COG0307;
P16687,ENOG4105EKV;COG3626;
P43676,ENOG4105CJ3;COG0306;
P77170,ENOG4105MN3;COG1961;
P76002,ENOG41066UD;ENOG41129QS;
P45577,ENOG41073DY;COG3109;
P22259,ENOG4105DJ1;COG1866;
P23842,ENOG4108KMM;ENOG41100B0;
P0ACL9,ENOG41073TP;COG2186;
P75800,ENOG4105BZU;ENOG410XNMH;
P05459,ENOG4105CJ0;COG0111;
P0A9L8,ENOG4105II7;COG0345;
P25906,ENOG4107S5I;ENOG410XRV3;
P76261,ENOG4107XTP;COG2200;
P37646,ENOG4105CMB;ENOG410Z0RI;
P15288,ENOG4105CIN;COG2195;
P0A790,ENOG4108Z2X;COG0853;
P0A794,ENOG4105CSZ;COG0854;
P02918,ENOG4108JQC;COG5009;
P76577,ENOG4108JQB;COG4953;
P21514,ENOG4105BZU;COG2200;COG2771;
P77334,ENOG4105BZU;COG2199;COG2200;COG2202;
P29745,ENOG4105D42;COG2195;
Q57083,ENOG4108PZW;ENOG410Z3XZ;
P04391,ENOG4105DBV;COG0078;
Q46889,ENOG4105G63;COG3395;
P77737,ENOG4108JQ7;COG4608;
P23843,ENOG4108J59;COG4166;
P0A784,ENOG4108RBP;COG1949;
P64453,ENOG410654E;ENOG41129WE;
P0ADB1,ENOG4105KKI;ENOG4111JD7;
P0A7C8,ENOG4108VY7;COG3223;
P06960,ENOG4105DBV;COG0078;
P27298,ENOG4105DGW;COG0339;
P62517,ENOG4105C3A;COG2943;
P0ADA7,
P0AFH8,ENOG4105K3G;COG2823;
P0AFF2,ENOG4105D9N;COG1972;
P0AFF4,ENOG4105EAA;ENOG410ZVFU;
P0AFG8,ENOG4105DAQ;COG2609;
P06996,ENOG4105FCK;COG3203;
P37057,ENOG4105ZTC;ENOG41128D7;
P75906,ENOG4107BJW;COG0726;
P69432,
P0A9N4,ENOG4105F1A;COG1180;
P09373,ENOG4105C6N;COG1882;
P32674,ENOG4105C6N;COG1882;
P75793,ENOG4105C6N;COG1882;
P37095,ENOG4105BZ6;COG0260;
P0A7G2,ENOG4105KG7;COG0858;
P18200,ENOG4108ZAI;COG1267;
P77333,ENOG4105EQ2;ENOG410XRUN;
P16688,ENOG4105FT8;COG3627;
P02932,ENOG4105FCK;COG3203;
P0A9K3,ENOG4105C9A;COG1702;
P32675,ENOG4108AHH;COG1180;
P02925,ENOG4105E9V;COG1879;
P75794,ENOG4105F1A;COG1180;
P40191,ENOG4107XGF;COG2240;
P77150,ENOG4107XGF;COG2240;
P0AFI9,ENOG4105C02;COG0628;
P0A796,ENOG4105CTQ;COG0205;
P0AFI7,ENOG4108S7T;COG0259;
P77528,
P08400,ENOG4105BZU;ENOG410XNMH;
P16692,ENOG4107SA6;COG1235;
P09152,ENOG4105CRU;COG5013;
P36938,ENOG4107QIX;COG0033;
P63020,ENOG4107RUK;COG0316;COG0694;
P13738,ENOG4105DRC;COG3004;
P0A9G2,ENOG41063Z6;COG0583;
P77567,ENOG4108MUX;COG2162;
P21369,ENOG4108RWI;COG1335;
P0AFB8,ENOG4105C1W;COG2204;
P69874,ENOG4105C53;COG3842;
P0AFK4,ENOG4105F38;COG1176;
P0AFC0,ENOG4108TIT;COG0494;
P32664,ENOG4105E09;COG2816;
P45799,ENOG4107RK2;COG0494;
P77788,ENOG4105M6F;COG0494;
